instance_file,instance_dir,num_clients,num_stations,best_distance,generations_completed,execution_time,population_size,mutation_rate,crossover_rate,max_generations
n20w120s5.1.txt,G/n20w120s5,20,4,337.0,33,0.2419724464416504,50,0.1,0.85,100
n20w120s5.2.txt,G/n20w120s5,20,4,276.0,30,0.22386407852172852,50,0.1,0.85,100
n20w120s5.3.txt,G/n20w120s5,20,4,303.0,25,0.1925661563873291,50,0.1,0.85,100
n20w120s5.4.txt,G/n20w120s5,20,4,291.0,35,0.23759722709655762,50,0.1,0.85,100
n20w120s5.5.txt,G/n20w120s5,20,4,249.0,54,0.38506054878234863,50,0.1,0.85,100
n20w120s10.1.txt,G/n20w120s10,20,9,362.0,17,0.14675378799438477,50,0.1,0.85,100
n20w120s10.2.txt,G/n20w120s10,20,9,262.0,27,0.1987934112548828,50,0.1,0.85,100
n20w120s10.3.txt,G/n20w120s10,20,9,331.0,33,0.23836851119995117,50,0.1,0.85,100
n20w120s10.4.txt,G/n20w120s10,20,9,311.0,37,0.25285840034484863,50,0.1,0.85,100
n20w120s10.5.txt,G/n20w120s10,20,9,308.0,32,0.23095488548278809,50,0.1,0.85,100
n20w140s5.1.txt,G/n20w140s5,20,4,268.0,19,0.14249062538146973,50,0.1,0.85,100
n20w140s5.2.txt,G/n20w140s5,20,4,345.0,13,0.11146736145019531,50,0.1,0.85,100
n20w140s5.3.txt,G/n20w140s5,20,4,310.0,30,0.20769357681274414,50,0.1,0.85,100
n20w140s5.4.txt,G/n20w140s5,20,4,283.0,29,0.21714377403259277,50,0.1,0.85,100
n20w140s5.5.txt,G/n20w140s5,20,4,328.0,28,0.20608258247375488,50,0.1,0.85,100
n20w140s10.1.txt,G/n20w140s10,20,9,233.0,50,0.33955955505371094,50,0.1,0.85,100
n20w140s10.2.txt,G/n20w140s10,20,9,326.0,30,0.20872116088867188,50,0.1,0.85,100
n20w140s10.3.txt,G/n20w140s10,20,9,271.0,39,0.26639628410339355,50,0.1,0.85,100
n20w140s10.4.txt,G/n20w140s10,20,9,282.0,56,0.3829801082611084,50,0.1,0.85,100
n20w140s10.5.txt,G/n20w140s10,20,9,312.0,33,0.23132109642028809,50,0.1,0.85,100
n20w160s5.1.txt,G/n20w160s5,20,4,305.0,24,0.17795777320861816,50,0.1,0.85,100
n20w160s5.2.txt,G/n20w160s5,20,4,375.0,11,0.0997476577758789,50,0.1,0.85,100
n20w160s5.3.txt,G/n20w160s5,20,4,293.0,28,0.2009749412536621,50,0.1,0.85,100
n20w160s5.4.txt,G/n20w160s5,20,4,264.0,29,0.22746658325195312,50,0.1,0.85,100
n20w160s5.5.txt,G/n20w160s5,20,4,274.0,35,0.24738192558288574,50,0.1,0.85,100
n20w160s10.1.txt,G/n20w160s10,20,9,291.0,56,0.38951754570007324,50,0.1,0.85,100
n20w160s10.2.txt,G/n20w160s10,20,9,326.0,22,0.168959379196167,50,0.1,0.85,100
n20w160s10.3.txt,G/n20w160s10,20,9,285.0,43,0.3058338165283203,50,0.1,0.85,100
n20w160s10.4.txt,G/n20w160s10,20,9,234.0,50,0.35269927978515625,50,0.1,0.85,100
n20w160s10.5.txt,G/n20w160s10,20,9,335.0,23,0.17836546897888184,50,0.1,0.85,100
n20w180s5.1.txt,G/n20w180s5,20,4,326.0,27,0.19061684608459473,50,0.1,0.85,100
n20w180s5.2.txt,G/n20w180s5,20,4,284.0,25,0.1779928207397461,50,0.1,0.85,100
n20w180s5.3.txt,G/n20w180s5,20,4,324.0,31,0.22800326347351074,50,0.1,0.85,100
n20w180s5.4.txt,G/n20w180s5,20,4,241.0,52,0.35980653762817383,50,0.1,0.85,100
n20w180s5.5.txt,G/n20w180s5,20,4,284.0,22,0.16391563415527344,50,0.1,0.85,100
n20w180s10.1.txt,G/n20w180s10,20,9,316.0,30,0.22150564193725586,50,0.1,0.85,100
n20w180s10.2.txt,G/n20w180s10,20,9,289.0,58,0.41173410415649414,50,0.1,0.85,100
n20w180s10.3.txt,G/n20w180s10,20,9,314.0,29,0.22562527656555176,50,0.1,0.85,100
n20w180s10.4.txt,G/n20w180s10,20,9,290.0,41,0.2851223945617676,50,0.1,0.85,100
n20w180s10.5.txt,G/n20w180s10,20,9,280.0,24,0.17571783065795898,50,0.1,0.85,100
n20w200s5.1.txt,G/n20w200s5,20,4,260.0,48,0.32215046882629395,50,0.1,0.85,100
n20w200s5.2.txt,G/n20w200s5,20,4,322.0,21,0.16196799278259277,50,0.1,0.85,100
n20w200s5.3.txt,G/n20w200s5,20,4,316.0,45,0.31255578994750977,50,0.1,0.85,100
n20w200s5.4.txt,G/n20w200s5,20,4,312.0,31,0.2204747200012207,50,0.1,0.85,100
n20w200s5.5.txt,G/n20w200s5,20,4,289.0,40,0.267474889755249,50,0.1,0.85,100
n20w200s10.1.txt,G/n20w200s10,20,9,296.0,21,0.15798258781433105,50,0.1,0.85,100
n20w200s10.2.txt,G/n20w200s10,20,9,260.0,27,0.21056509017944336,50,0.1,0.85,100
n20w200s10.3.txt,G/n20w200s10,20,9,293.0,35,0.24612951278686523,50,0.1,0.85,100
n20w200s10.4.txt,G/n20w200s10,20,9,333.0,22,0.1786940097808838,50,0.1,0.85,100
n20w200s10.5.txt,G/n20w200s10,20,9,289.0,51,0.35211849212646484,50,0.1,0.85,100
